probe_set	wt_a	wt_b	wt_c	baseline mean	baseline mean's SE	ko_a	ko_b	ko_c	experiment mean	experiment mean's SE	fold change	lower bound of FC	upper bound of FC
Pp1s28_152V6__1	3701	3648	3611	3653,33	26,12	3930	3375	3548	3617,67	163,96	-1,01	-0,94	-1,09
Pp1s28_153V6__1	2565	2030	2204	2266,33	157,55	2351	2793	2844	2662,67	156,53	1,17	1,01	1,37
Pp1s28_156V6__1	38	46	40	41,33	2,4	43	70	59	57,33	7,84	1,39	1,06	1,74
Pp1s28_157V6__1	18063	19740	19853	19218,67	578,75	18174	19119	19957	19083,33	515,02	-1,01	-0,94	-1,08
Pp1s28_159V6__1	41	81	27	49,67	16,18	30	33	28	30,33	1,45	-1,64	-0,76	-2,54
Pp1s28_15V6__1	17193	14890	14739	15607,33	794,03	14629	14706	13219	14184,67	483,34	-1,1	-0,99	-1,21
Pp1s28_161V6__1	15369	13122	12771	13754	813,83	12160	12642	10772	11858	560,54	-1,16	-1,02	-1,31
Pp1s28_162V6__1	2334	2814	2518	2555,33	139,82	3246	3270	3095	3203,67	54,77	1,25	1,14	1,38
Pp1s28_164V6__1	32	54	38	41,33	6,57	46	38	39	41	2,52	-1,01	-0,73	-1,3
Pp1s28_167V6__1	29	55	42	42	7,51	66	48	38	50,67	8,19	1,21	0,81	1,83
Pp1s28_168V6__1	9860	8987	9226	9357,67	260,47	8424	8750	9902	9025,33	448,32	-1,04	-0,95	-1,14
Pp1s28_170V6__1	16855	18709	16243	17269	741,36	17685	17575	17452	17570,67	67,3	1,02	0,95	1,1
Pp1s28_171V6__1	4491	5312	4822	4875	238,48	5594	5395	5583	5524	64,58	1,13	1,05	1,23
Pp1s28_172V6__1	2712	2729	2332	2591	129,59	2538	2580	3080	2732,67	174,09	1,05	0,92	1,2
Pp1s28_174V6__1	7262	7231	8772	7755	508,58	8363	8072	8469	8301,33	118,68	1,07	0,96	1,2
Pp1s28_178V6__1	3924	4140	4198	4087,33	83,37	4485	4340	4176	4333,67	89,26	1,06	1,01	1,11
Pp1s28_181V6__1	39	39	54	44	5	48	104	56	69,33	17,49	1,58	0,9	2,36
Pp1s28_182V6__1	5087	5365	5233	5228,33	80,29	5754	5325	5119	5399,33	187,04	1,03	0,97	1,1
Pp1s28_184V6__1	9379	8837	9025	9080,33	158,89	9884	10158	7961	9334,33	691,21	1,03	0,9	1,16
Pp1s28_187V6__1	60	37	30	42,33	9,06	34	34	23	30,33	3,67	-1,4	-0,87	-2,03
Pp1s28_189V6__1	372	260	339	323,67	33,23	417	303	258	326	47,32	1,01	0,74	1,34
Pp1s28_18V6__1	8289	9277	8849	8805	286,06	7836	8403	8765	8334,67	270,35	-1,06	-0,98	-1,14
Pp1s28_191V6__1	54	46	54	51,33	2,67	34	56	55	48,33	7,17	-1,06	-0,84	-1,42
Pp1s28_193V6__1	5432	5598	5323	5451	79,95	5741	5327	5057	5375	198,91	-1,01	-0,95	-1,08
Pp1s28_194V6__1	2535	2017	2137	2229,67	156,55	1721	2034	2296	2017	166,21	-1,11	-0,93	-1,33
Pp1s28_195V6__1	2101	2110	2454	2221,67	116,2	2249	2104	1803	2052	131,35	-1,08	-0,95	-1,24
Pp1s28_196V6__1	19019	18461	19618	19032,67	334,07	18703	20101	16165	18323	1152	-1,04	-0,94	-1,16
Pp1s28_198V6__1	4626	5145	3712	4494,33	418,88	7091	7202	7054	7115,67	44,47	1,58	1,37	1,87
Pp1s28_199V6__1	112	93	193	132,67	30,66	98	82	80	86,67	5,7	-1,53	-0,94	-2,16
Pp1s28_200V6__1	3243	3703	4158	3701,33	264,14	4285	4570	4982	4612,33	202,32	1,25	1,09	1,44
Pp1s28_202V6__1	75	38	66	59,67	11,14	62	53	74	63	6,08	1,06	0,77	1,56
Pp1s28_203V6__1	8770	10626	8702	9366	630,31	18678	22901	20658	20745,67	1219,86	2,21	1,91	2,57
Pp1s28_205V6__1	38	36	58	44	7,02	41	30	43	38	4,04	-1,16	-0,82	-1,57
Pp1s28_206V6__1	54	41	39	44,67	4,7	72	124	105	100,33	15,19	2,25	1,62	3,01
Pp1s28_207V6__1	59	84	75	72,67	7,31	51	54	56	53,67	1,45	-1,35	-1,12	-1,59
Pp1s28_209V6__1	1505	1470	1287	1420,67	67,59	1715	1673	1270	1552,67	141,85	1,09	0,91	1,29
Pp1s28_20V6__1	40	35	36	37	1,53	41	129	30	66,67	31,33	1,8	0,41	3,21
Pp1s28_210V6__1	611	473	355	479,67	73,98	436	375	462	424,33	25,78	-1,13	-0,83	-1,45
Pp1s28_211V6__1	1799	2401	1830	2010	195,7	1774	1793	1720	1762,33	21,87	-1,14	-0,96	-1,33
Pp1s28_212V6__1	177	58	58	97,67	39,67	40	36	30	35,33	2,91	-2,76	-0,91	-4,72
Pp1s28_214V6__1	1795	1986	1832	1871	58,48	2306	2520	2131	2319	112,48	1,24	1,12	1,36
Pp1s28_215V6__1	1804	2081	2088	1991	93,52	1776	1726	2183	1895	144,72	-1,05	-0,91	-1,22
Pp1s28_217V6__1	246	304	245	265	19,5	246	264	257	255,67	5,24	-1,04	-0,91	-1,17
Pp1s28_218V6__1	289	307	197	264,33	34,07	276	156	360	264	59,19	-1	-0,67	-1,64
Pp1s28_219V6__1	5266	5169	4812	5082,33	138,04	4334	3242	4225	3933,67	347,26	-1,29	-1,12	-1,52
Pp1s28_21V6__1	4821	5344	5056	5073,67	151,24	6470	6157	8216	6947,67	640,57	1,37	1,15	1,59
Pp1s28_223V6__1	3445	3263	3691	3466,33	124,01	2546	2952	2940	2812,67	133,38	-1,23	-1,12	-1,36
Pp1s28_225V6__1	172	107	99	126	23,12	76	82	112	90	11,14	-1,4	-0,94	-1,98
Pp1s28_226V6__1	2140	2148	2018	2102	42,06	2648	2769	2346	2587,67	125,78	1,23	1,13	1,34
Pp1s28_228V6__1	41	35	30	35,33	3,18	30	46	27	34,33	5,9	-1,03	-0,76	-1,47
Pp1s28_229V6__1	47	60	71	59,33	6,94	50	38	51	46,33	4,18	-1,28	-0,99	-1,63
Pp1s28_22V6__1	4245	3695	3865	3935	162,58	3994	4082	4120	4065,33	37,32	1,03	0,97	1,11
Pp1s28_230V6__1	3137	2727	2580	2814,67	166,66	2625	2954	3184	2921	162,21	1,04	0,91	1,19
Pp1s28_231V6__1	5936	5182	5623	5580,33	218,7	4826	4826	5518	5056,67	230,67	-1,1	-1	-1,22
Pp1s28_232V6__1	6274	5778	7489	6513,67	508,25	5859	6011	6036	5968,67	55,31	-1,09	-0,95	-1,23
Pp1s28_237V6__1	4587	4793	4734	4704,67	61,25	4296	3729	3972	3999	164,23	-1,18	-1,1	-1,27
Pp1s28_238V6__1	5943	5725	5081	5583	258,77	4192	5365	5162	4906,33	361,94	-1,14	-0,99	-1,32
Pp1s28_23V6__1	3416	3817	2591	3274,67	360,9	2115	2340	2356	2270,33	77,8	-1,44	-1,17	-1,72
Pp1s28_240V6__1	44	34	97	58,33	19,55	44	39	41	41,33	1,45	-1,41	-0,63	-2,2
Pp1s28_242V6__1	1323	1040	866	1076,33	133,17	532	447	638	539	55,25	-2	-1,52	-2,59
Pp1s28_244V6__1	46	158	48	84	37	40	69	63	57,33	8,84	-1,47	-0,4	-2,73
Pp1s28_247V6__1	3058	2798	2772	2876	91,31	2451	2841	2930	2740,67	147,09	-1,05	-0,95	-1,17
Pp1s28_24V6__1	1949	2585	2162	2232	186,9	2222	1752	2015	1996,33	136	-1,12	-0,93	-1,33
Pp1s28_254V6__1	15653	14582	18565	16266,67	1190,03	17957	16069	17262	17096	551,3	1,05	0,93	1,21
Pp1s28_259V6__1	982	1149	1176	1102,33	60,67	549	651	628	609,33	30,89	-1,81	-1,6	-2,05
Pp1s28_25V6__1	1802	1888	1950	1880	42,91	1992	1778	1978	1916	69,12	1,02	0,95	1,09
Pp1s28_260V6__1	4167	4459	5167	4597,67	296,88	3414	3539	4003	3652	179,17	-1,26	-1,1	-1,44
Pp1s28_261V6__1	3672	4281	4231	4061,33	195,2	2954	2473	3147	2858	200,4	-1,42	-1,24	-1,64
Pp1s28_264V6__1	2414	2198	2214	2275,33	69,49	1876	2111	2248	2078,33	108,62	-1,09	-0,99	-1,21
Pp1s28_265V6__1	35	45	46	42	3,51	39	33	27	33	3,46	-1,27	-1,02	-1,6
Pp1s28_266V6__1	2772	3413	3260	3148,33	193,28	3457	3502	3693	3550,67	72,34	1,13	1,02	1,26
Pp1s28_268V6__1	3031	2723	3229	2994,33	147,22	3353	2967	3258	3192,67	116,12	1,07	0,97	1,18
Pp1s28_26V6__1	9348	8477	8323	8716	319,11	8102	7886	7215	7734,33	267,05	-1,13	-1,04	-1,22
Pp1s28_272V6__1	35	45	32	37,33	3,93	39	38	39	38,67	0,33	1,04	0,88	1,25
Pp1s28_278V6__1	46	37	49	44	3,61	56	58	49	54,33	2,73	1,23	1,06	1,46
Pp1s28_282V6__1	1726	1520	2261	1835,67	220,82	2623	2028	2147	2266	181,78	1,23	0,98	1,59
Pp1s28_283V6__1	62	42	36	46,67	7,86	26	26	28	26,67	0,67	-1,75	-1,26	-2,24
Pp1s28_284V6__1	57	46	42	48,33	4,48	38	75	148	87	32,32	1,8	0,7	2,99
Pp1s28_285V6__1	34	40	42	38,67	2,4	50	27	45	40,67	6,98	1,05	0,75	1,38
Pp1s28_286V6__1	45	54	31	43,33	6,69	34	29	41	34,67	3,48	-1,25	-0,9	-1,67
Pp1s28_287V6__1	53	89	61	67,67	10,91	71	66	68	68,33	1,45	1,01	0,8	1,38
Pp1s28_288V6__1	44	51	34	43	4,93	33	41	54	42,67	6,12	-1,01	-0,75	-1,39
Pp1s28_289V6__1	54	55	33	47,33	7,17	106	161	56	107,67	30,32	2,27	1,18	3,67
Pp1s28_28V6__1	4530	4307	4170	4335,67	104,91	3792	3842	4256	3963,33	147,04	-1,09	-1,02	-1,18
Pp1s28_290V6__1	4657	4560	4769	4662	60,38	5051	5472	4800	5107,67	196,05	1,1	1,02	1,17
Pp1s28_292V6__1	26	34	28	29,33	2,4	37	36	35	36	0,58	1,23	1,08	1,42
Pp1s28_293V6__1	90	76	111	92,33	10,17	54	54	63	57	3	-1,62	-1,31	-1,96
Pp1s28_294V6__1	48	51	50	49,67	0,88	63	69	66	66	1,73	1,33	1,26	1,4
Pp1s28_295V6__1	156	148	58	120,67	31,42	78	145	131	118	20,4	-1,02	-0,56	-1,67
Pp1s28_297V6__1	3485	3295	3883	3554,33	173,24	4345	4708	4490	4514,33	105,49	1,27	1,16	1,39
Pp1s28_299V6__1	181	248	188	205,67	21,26	187	208	230	208,33	12,41	1,01	0,84	1,25
Pp1s28_29V6__1	41	28	46	38,33	5,36	68	80	54	67,33	7,51	1,76	1,31	2,4
Pp1s28_2V6__1	990	938	1005	977,67	20,3	1031	1063	1014	1036	14,36	1,06	1,02	1,1
Pp1s28_303V6__1	1243	1062	1996	1433,67	285,98	1801	1503	1765	1689,67	93,91	1,18	0,87	1,77
Pp1s28_304V6__1	8310	7213	8896	8139,67	493,25	10535	11024	8191	9916,67	874,3	1,22	1,01	1,45
Pp1s28_306V6__1	34122	31981	29304	31802,33	1393,7	28202	30256	28422	28960	651,1	-1,1	-1,01	-1,19
Pp1s28_307V6__1	25223	24307	25221	24917	305	24983	25514	24261	24919,33	363,11	1	0,97	1,03
Pp1s28_308V6__1	1181	1484	1384	1349,67	89,14	1507	1564	1651	1574	41,87	1,17	1,04	1,32
Pp1s28_309V6__1	26	29	35	30	2,65	36	37	29	34	2,52	1,13	0,94	1,38
Pp1s28_30V6__1	234	277	225	245,33	16,05	138	232	344	238	59,54	-1,03	-0,72	-1,77
Pp1s28_312V6__1	122	236	270	209,33	44,76	280	194	284	252,67	29,36	1,21	0,83	1,92
Pp1s28_314V6__1	29	29	33	30,33	1,33	36	30	33	33	1,73	1,09	0,97	1,22
Pp1s28_315V6__1	29127	27984	26709	27940	698,36	28410	28353	27202	27988,33	393,51	1	0,96	1,05
Pp1s28_317V6__1	52	128	29	69,67	29,91	46	50	41	45,67	2,6	-1,53	-0,45	-2,63
Pp1s28_319V6__1	26705	25116	20881	24234	1738,12	26168	21481	22465	23371,33	1426,89	-1,04	-0,89	-1,21
Pp1s28_31V6__1	35	28	38	33,67	2,96	42	37	52	43,67	4,41	1,3	1,03	1,61
Pp1s28_321V6__1	3485	3739	3105	3443	184,22	3936	3081	4825	3947,33	503,48	1,15	0,89	1,42
Pp1s28_325V6__1	2930	2476	2843	2749,67	139,12	3042	3040	3001	3027,67	13,35	1,1	1,02	1,2
Pp1s28_327V6__1	1510	1174	1354	1346	97,08	1403	986	968	1119	142,1	-1,2	-0,96	-1,56
Pp1s28_328V6__1	22730	21330	23528	22529,33	642,39	23559	21347	19940	21615,33	1053,3	-1,04	-0,95	-1,15
Pp1s28_329V6__1	3286	3372	3463	3373,67	51,1	3592	3211	3344	3382,33	111,64	1	0,94	1,06
Pp1s28_32V6__1	45	80	54	59,67	10,49	58	46	45	49,67	4,18	-1,2	-0,84	-1,61
Pp1s28_330V6__1	21785	24019	22967	22923,67	645,26	24545	22616	22989	23383,33	590,73	1,02	0,96	1,09
Pp1s28_333V6__1	2578	2824	2812	2738	80,07	2963	3032	3339	3111,33	115,56	1,14	1,05	1,23
Pp1s28_33V6__1	61	71	43	58,33	8,19	51	35	47	44,33	4,81	-1,32	-0,97	-1,75
Pp1s28_340V6__1	55	50	40	48,33	4,41	85	59	48	64	10,97	1,32	0,93	1,78
Pp1s28_341V6__1	80	319	69	156	81,56	42	30	35	35,67	3,48	-4,37	-0,61	-8,37
Pp1s28_342V6__1	315	317	240	290,67	25,34	503	415	354	424	43,25	1,46	1,16	1,82
Pp1s28_346V6__1	4377	4349	3368	4031,33	331,77	3018	3165	3269	3150,67	72,81	-1,28	-1,1	-1,46
Pp1s28_347V6__1	2623	2207	2368	2399,33	121,11	2154	1955	1422	1843,67	218,52	-1,3	-1,07	-1,64
Pp1s28_348V6__1	113	61	43	72,33	20,99	52	57	66	58,33	4,1	-1,24	-0,64	-1,87
Pp1s28_350V6__1	816	1147	745	902,67	123,87	869	520	799	729,33	106,6	-1,24	-0,89	-1,74
Pp1s28_354V6__1	8098	7165	7586	7616,33	269,76	8228	8618	8733	8526,33	152,82	1,12	1,05	1,2
Pp1s28_356V6__1	3811	3269	3428	3502,67	160,85	3221	3784	3510	3505	162,54	1	0,9	1,11
Pp1s28_358V6__1	68	38	122	76	24,58	36	99	27	54	22,65	-1,41	-0,56	-4,81
Pp1s28_362V6__1	67	145	73	95	25,06	155	166	97	139,33	21,4	1,47	0,92	2,69
Pp1s28_363V6__1	1484	1980	1555	1673	154,86	1442	1407	1733	1527,33	103,33	-1,1	-0,9	-1,32
Pp1s28_368V6__1	68	51	45	54,67	6,89	40	52	46	46	3,46	-1,19	-0,92	-1,5
Pp1s28_369V6__1	55	40	36	43,67	5,78	36	129	27	64	32,6	1,47	0,24	2,84
Pp1s28_373V2__1	74	40	46	53,33	10,48	83	75	76	78	2,52	1,46	1,1	2,17
Pp1s28_376V6__1	184	222	67	157,67	46,64	218	186	229	211	12,9	1,34	0,89	2,62
Pp1s28_378V6__1	2389	3052	2569	2670	197,94	2888	2334	2391	2537,67	175,94	-1,05	-0,89	-1,24
Pp1s28_381V6__1	38	83	49	56,67	13,54	57	73	61	63,67	4,81	1,12	0,78	1,87
Pp1s28_382V6__1	4330	4448	3795	4191	200,91	4331	4126	3769	4075,33	164,2	-1,03	-0,93	-1,14
Pp1s28_383V6__1	7731	8945	7853	8176,33	385,94	7897	7040	7760	7565,67	265,79	-1,08	-0,98	-1,19
Pp1s28_387V6__1	6265	5654	5161	5693,33	319,3	4077	4611	3371	4019,67	359,1	-1,42	-1,2	-1,7
Pp1s28_389V6__1	148	27	139	104,67	38,92	32	35	34	33,67	0,88	-3,11	-1,21	-5,02
Pp1s28_390V6__1	1619	1549	1757	1641,67	61,1	885	656	1047	862,67	113,42	-1,9	-1,55	-2,44
Pp1s28_391V6__1	7953	8851	7202	8002	476,66	6331	5276	6422	6009,67	367,77	-1,33	-1,16	-1,53
Pp1s28_394V6__1	4959	4490	5111	4853,33	186,89	5869	5957	6142	5989,33	80,45	1,23	1,16	1,32
Pp1s28_396V6__1	8540	8579	8183	8434	126	9384	9595	8395	9124,67	369,88	1,08	1,01	1,16
Pp1s28_397V6__1	5760	5297	6419	5825,33	325,54	5138	5019	5534	5230,33	155,67	-1,11	-1	-1,23
Pp1s28_399V6__1	14334	13158	12416	13302,67	558,38	14960	13318	13742	14006,67	492,13	1,05	0,96	1,15
Pp1s28_403V6__1	2923	3095	3170	3062,67	73,11	2685	2594	2658	2645,67	26,98	-1,16	-1,11	-1,21
Pp1s28_404V6__1	319	386	423	376	30,44	360	346	245	317	36,23	-1,19	-0,95	-1,51
Pp1s28_405V6__1	2585	2579	2635	2599,67	17,75	2091	2157	2021	2089,67	39,27	-1,24	-1,2	-1,29
Pp1s28_407V6__1	2919	2844	3607	3123,33	242,8	3576	3411	2960	3315,67	184,1	1,06	0,91	1,25
Pp1s28_408V6__1	1679	1698	1917	1764,67	76,36	1632	1768	1824	1741,33	57,01	-1,01	-0,93	-1,11
Pp1s28_409V6__1	6931	7694	7323	7316	220,29	6387	5997	6176	6186,67	112,71	-1,18	-1,12	-1,25
Pp1s28_410V6__1	121	43	95	86,33	22,93	118	64	56	79,33	19,47	-1,09	-0,56	-2,04
Pp1s28_412V6__1	2377	2801	3383	2853,67	291,6	3074	3886	3042	3334	276,15	1,17	0,94	1,46
Pp1s28_414V6__1	71	76	59	68,67	5,04	49	34	42	41,67	4,33	-1,65	-1,34	-2,05
Pp1s28_415V6__1	659	562	859	693,33	87,44	515	504	767	595,33	85,89	-1,16	-0,85	-1,62
Pp1s28_416V6__1	1531	823	1174	1176	204,38	1031	967	1325	1107,67	110,23	-1,06	-0,74	-1,45
Pp1s28_419V6__1	336	508	411	418,33	49,79	304	425	352	360,33	35,18	-1,16	-0,89	-1,49
Pp1s28_422V6__1	53	43	47	47,67	2,91	29	43	36	36	4,04	-1,32	-1,08	-1,66
Pp1s28_42V6__1	11180	10532	11581	11097,67	305,61	10223	10991	11134	10782,67	282,86	-1,03	-0,97	-1,1
Pp1s28_44V6__1	747	376	378	500,33	123,33	332	353	576	420,33	78,07	-1,19	-0,67	-1,96
Pp1s28_45V6__1	3777	4041	3973	3930,33	79,14	4699	3290	4297	4095,33	419,06	1,04	0,86	1,22
Pp1s28_46V6__1	279	496	363	379,33	63,17	684	766	647	699	35,16	1,84	1,42	2,56
Pp1s28_48V6__1	71	70	47	62,67	7,84	68	76	78	74	3,06	1,18	0,97	1,5
Pp1s28_52V6__1	50	50	38	46	4	83	67	41	63,67	12,24	1,38	0,93	1,9
Pp1s28_53V6__1	49	186	153	129,33	41,28	160	558	272	330	118,5	2,55	0,96	6,08
Pp1s28_54V6__1	12437	12153	11252	11947,33	357,2	11499	11899	11444	11614	143,38	-1,03	-0,97	-1,08
Pp1s28_55V6__1	75	67	119	87	16,17	100	77	68	81,67	9,53	-1,07	-0,71	-1,5
Pp1s28_58V6__1	50	31	35	38,67	5,78	26	29	32	29	1,73	-1,33	-0,99	-1,7
Pp1s28_59V6__1	16527	16334	17225	16695,33	270,63	17665	17874	17852	17797	66,3	1,07	1,04	1,1
Pp1s28_5V2__1	2790	2212	3002	2668	236,07	2667	2327	3021	2671,67	200,35	1	0,83	1,22
Pp1s28_5V6__1	8473	7189	8652	8104,67	460,74	7642	7699	9326	8222,33	552,08	1,01	0,88	1,17
Pp1s28_60V6__1	38	66	62	55,33	8,74	44	36	37	39	2,52	-1,42	-1,03	-1,84
Pp1s28_65V6__1	42	47	64	51	6,66	60	58	62	60	1,15	1,18	0,97	1,5
Pp1s28_66V6__1	2712	3416	2395	2841	301,71	3100	2869	2592	2853,67	146,85	1	0,84	1,24
Pp1s28_67V6__1	2143	2693	2584	2473,33	168,14	1984	2093	2939	2338,67	301,81	-1,06	-0,84	-1,37
Pp1s28_68V6__1	54	48	43	48,33	3,18	43	81	48	57,33	11,92	1,19	0,77	1,63
Pp1s28_76V6__1	3450	4394	4224	4022,67	290,51	4732	5864	4377	4991	448,37	1,24	1,02	1,5
Pp1s28_7V6__1	45	35	31	37	4,16	40	41	45	42	1,53	1,14	0,95	1,4
Pp1s28_81V6__1	66	49	70	61,67	6,44	77	44	56	59	9,64	-1,05	-0,77	-1,48
Pp1s28_82V6__1	3800	2940	3938	3559,33	312,22	3372	3036	3431	3279,67	123,02	-1,09	-0,92	-1,26
Pp1s28_83V6__1	2644	2529	2932	2701,67	119,86	2808	2590	2400	2599,33	117,87	-1,04	-0,94	-1,15
Pp1s28_86V6__1	305	117	203	208,33	54,34	181	294	243	239,33	32,67	1,15	0,74	2,08
Pp1s28_90V6__1	4221	3786	5547	4518	529,6	4596	5080	3721	4465,67	397,69	-1,01	-0,79	-1,28
Pp1s28_92V6__1	53	38	35	42	5,57	41	33	38	37,33	2,33	-1,13	-0,86	-1,41
Pp1s28_94V6__1	735	1588	1218	1180,33	246,96	800	1269	1201	1090	146,32	-1,08	-0,68	-1,6
Pp1s28_96V6__1	1008	1198	997	1067,67	65,24	2145	2304	2282	2243,67	49,74	2,1	1,9	2,35
Pp1s28_9V6__1	86	24	73	61	18,88	52	35	51	46	5,51	-1,33	-0,64	-2,12
Pp1s2909_1V6__1	61	160	60	93,67	33,17	30	40	52	40,67	6,36	-2,3	-0,94	-3,99
Pp1s2909_3V6__1	34	31	29	31,33	1,45	56	42	36	44,67	5,93	1,43	1,1	1,76
Pp1s290_15V6__1	55	34	22	37	9,64	37	44	33	38	3,21	1,03	0,7	1,82
Pp1s290_16V6__1	28245	26730	25018	26664,33	932,13	24356	25832	27211	25799,67	824,33	-1,03	-0,96	-1,12
Pp1s290_17V6__1	45	48	66	53	6,56	50	54	53	52,33	1,2	-1,01	-0,8	-1,22
Pp1s290_19V6__1	57	56	32	48,33	8,17	48	50	46	48	1,15	-1,01	-0,73	-1,29
Pp1s290_20V6__1	4836	4959	5072	4955,67	68,15	4673	4970	5069	4904	118,98	-1,01	-0,97	-1,06
Pp1s290_2V6__1	38	40	45	41	2,08	45	30	34	36,33	4,48	-1,13	-0,92	-1,43
Pp1s290_35V6__1	18198	17407	19662	18422,33	660,56	18275	21628	20324	20075,67	975,86	1,09	0,99	1,2
Pp1s290_38V6__1	318	182	254	251,33	39,28	315	148	252	238,33	48,69	-1,05	-0,7	-1,68
Pp1s290_40V6__1	19842	20590	20898	20443,33	313,54	21962	21514	21989	21821,67	154,03	1,07	1,04	1,1
Pp1s290_41V2__1	780	845	707	777,33	39,86	859	656	585	700	82,1	-1,11	-0,91	-1,4
Pp1s290_42V6__1	5812	6038	5966	5938,67	66,66	5090	4609	4758	4819	142,16	-1,23	-1,17	-1,3
Pp1s290_43V6__1	2129	2586	3012	2575,67	254,95	2432	3413	2242	2695,67	362,84	1,05	0,78	1,37
Pp1s290_44V6__1	11678	12862	11687	12075,67	393,18	10591	10704	11573	10956	310,22	-1,1	-1,03	-1,18
Pp1s290_45V6__1	3989	4796	4559	4448	239,48	4482	4598	4639	4573	47,01	1,03	0,94	1,13
Pp1s290_4V6__1	116	116	100	110,67	5,33	101	53	93	82,33	14,85	-1,34	-1,02	-1,92
Pp1s290_6V6__1	5017	4720	4548	4761,67	136,98	4147	4451	3810	4136	185,12	-1,15	-1,06	-1,26
Pp1s290_7V6__1	13606	15663	13542	14270,33	696,58	12317	10920	12668	11968,33	533,87	-1,19	-1,07	-1,33
Pp1s290_9V6__1	2349	2502	2410	2420,33	44,47	2081	2359	1913	2117,67	130,05	-1,14	-1,03	-1,28
Pp1s2918_1V6__1	57	37	46	46,67	5,78	42	46	58	48,67	4,81	1,04	0,81	1,37
Pp1s2918_2V6__1	60	53	86	66,33	10,04	46	36	36	39,33	3,33	-1,69	-1,23	-2,21
Pp1s291_10V6__1	76	45	110	77	18,77	63	64	79	68,67	5,17	-1,12	-0,66	-1,61
Pp1s291_11V6__1	38	81	44	54,33	13,45	47	53	67	55,67	5,93	1,02	0,69	1,77
Pp1s291_19V6__1	200	203	217	206,67	5,24	252	219	170	213,67	23,82	1,03	0,84	1,23
Pp1s291_1V6__1	1920	1546	1475	1647	138,03	1223	1718	1056	1332,33	198,77	-1,24	-0,95	-1,68
Pp1s291_20V6__1	430	225	296	317	60,1	524	534	447	501,67	27,49	1,58	1,19	2,32
Pp1s291_21V6__1	221	227	507	318,33	94,35	278	326	253	285,67	21,42	-1,11	-0,57	-1,7
Pp1s291_22V6__1	11864	9287	15546	12232,33	1816,18	17580	18623	14753	16985,33	1156,06	1,39	1,08	1,87
Pp1s291_27V6__1	297	326	411	344,67	34,21	619	254	382	418,33	106,92	1,21	0,69	1,8
Pp1s291_28V6__1	2131	2214	2315	2220	53,2	1653	1290	2161	1701,33	252,59	-1,3	-1,04	-1,73
Pp1s291_29V6__1	1751	2233	2111	2031,67	144,69	2305	2070	2125	2166,67	70,97	1,07	0,94	1,22
Pp1s291_2V6__1	3313	3843	2975	3377	252,61	4271	3653	3924	3949,33	178,85	1,17	1,02	1,36
Pp1s291_30V6__1	531	434	722	562,33	84,6	3601	2640	4439	3560	519,73	6,33	4,45	9,03
Pp1s291_32V6__1	4951	4023	4377	4450,33	270,39	3591	4234	3550	3791,67	221,48	-1,17	-1,02	-1,35
Pp1s291_33V6__1	1056	898	1092	1015,33	59,58	1106	1082	1372	1186,67	92,93	1,17	0,99	1,37
Pp1s291_35V6__1	20368	22747	19232	20782,33	1035,63	21291	20153	22139	21194,33	575,34	1,02	0,93	1,12
Pp1s291_36V6__1	2221	2378	2928	2509	214,35	3190	3102	3188	3160	29,01	1,26	1,1	1,47
Pp1s291_38V6__1	9564	8971	10329	9621,33	393,07	9091	8628	8636	8785	153,02	-1,1	-1,02	-1,18
Pp1s291_39V6__1	974	1271	1021	1088,67	92,17	1134	869	1265	1089,33	116,48	1	0,79	1,25
Pp1s291_40V6__1	1602	1206	1153	1320,33	141,66	1259	1470	1423	1384	63,96	1,05	0,87	1,29
Pp1s291_41V6__1	3173	2978	3111	3087,33	57,52	2570	2703	2817	2696,67	71,37	-1,14	-1,09	-1,21
Pp1s291_42V6__1	10886	10427	9054	10122,33	550,36	9742	9849	9179	9590	207,81	-1,06	-0,96	-1,16
Pp1s291_43V6__1	8002	7520	8558	8026,67	299,9	9489	9013	9343	9281,67	140,79	1,16	1,08	1,24
Pp1s291_44V6__1	10343	11223	13556	11707,33	958,61	10389	11749	10694	10944	412,02	-1,07	-0,91	-1,23
Pp1s291_45V6__1	2028	1535	1525	1696	166,03	1451	1761	2324	1845,33	255,52	1,09	0,81	1,43
Pp1s291_46V6__1	276	369	270	305	32,05	367	460	362	396,33	31,87	1,3	1,05	1,63
Pp1s291_47V6__1	7909	9097	7521	8175,67	474,09	7726	7695	7684	7701,67	12,57	-1,06	-0,96	-1,16
Pp1s291_49V6__1	14179	13716	12822	13572,33	398,26	13878	14136	13838	13950,67	93,38	1,03	0,98	1,08
Pp1s291_52V6__1	52	42	45	46,33	2,96	35	30	35	33,33	1,67	-1,39	-1,21	-1,59
Pp1s291_53V6__1	11571	11207	12688	11822	445,57	13536	13938	13867	13780,33	123,87	1,17	1,1	1,24
Pp1s291_55V6__1	641	588	707	645,33	34,42	641	535	558	578	32,19	-1,12	-0,98	-1,27
Pp1s291_56V6__1	1379	1434	1624	1479	74,22	1480	1328	1129	1312,33	101,63	-1,13	-0,97	-1,32
Pp1s291_57V6__1	32	70	60	54	11,37	44	66	57	55,67	6,39	1,03	0,72	1,63
Pp1s291_59V6__1	2572	1886	2214	2224	198,09	2171	2081	1851	2034,33	95,28	-1,09	-0,92	-1,28
Pp1s291_61V6__1	931	650	869	816,67	85,23	762	876	1038	892	80,07	1,09	0,87	1,38
